name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,night_range
Le Siam heritage Residence,Anchana,Bang Rak,13.72063,100.51611,Private room,1300,30,0,,0.0,4,365,0,Week 4
"One Bed apartmentm,The Seed Mingle condo, Bangkok",Chok,Sathon,13.72075,100.53993,Entire home/apt,1558,21,2,2018-12-05,0.04,2,364,0,Week 3
Unique 2 bd-apt right above pool,Tash,Vadhana,13.73332,100.57099,Entire home/apt,2220,21,58,2022-11-18,0.53,2,346,2,Week 3
SSIP HOME-15minWalkKhaosan-FreeBreakfast-TripleBed,Sirikamol,Dusit,13.77073,100.50478,Private room,7500,1,0,,0.0,3,365,0,Week 1
Mini chic Apartment -BTS S Taksin,Wimonpak,Sathon,13.71425,100.51332,Entire home/apt,703,1,206,2022-12-14,1.79,41,355,6,Week 1
2 Bed Serviced Penthouse SkyVillas,Salvatore,Sathon,13.72027,100.52851,Entire home/apt,3757,2,135,2022-11-11,1.19,7,144,3,Week 1
Contemporary Modern Duplex - Thonglor,Eva,Khlong Toei,13.72242,100.57962,Entire home/apt,1489,30,81,2022-10-07,0.72,1,0,3,Week 4
Chao Phraya Rumors,Fr,Samphanthawong,13.73989,100.50179,Private room,1732,5,1,2013-08-18,0.01,1,365,0,Week 1
Master Suite in Pool Villa,Ingo,Vadhana,13.74618,100.55168,Private room,9600,28,1,2017-06-19,0.01,2,365,0,Week 4
FABB Modern 4. BTS Sapan Taksin,Wimonpak,Sathon,13.7133,100.51337,Entire home/apt,1100,1,146,2020-03-02,1.27,41,167,0,Week 1
Great Studio in Great Area 24Sqm.,Yair,Suanluang,13.72383,100.61609,Entire home/apt,1306,28,2,2015-01-15,0.02,4,347,0,Week 4
City heart resort style condo.,Susie,Phaya Thai,13.78064,100.54393,Entire home/apt,1385,3,7,2017-07-26,0.07,1,348,0,Week 1
Large cozy Studio in on nut 17,Yair,Suanluang,13.7234,100.61828,Entire home/apt,1212,10,10,2017-08-10,0.1,10,365,0,Week 2
New & Nice 1 Bed Apt Thonglor BTS,Nulek,Khlong Toei,13.72062,100.58019,Entire home/apt,1732,2,0,,0.0,1,347,0,Week 1
Bangkok Riverside near Asiatique,Benz,Bang Kho laen,13.7016,100.50262,Entire home/apt,4800,2,18,2016-12-24,0.2,2,357,0,Week 1
Amazing studio in Onnut,Yair,Suanluang,13.72158,100.61654,Entire home/apt,999,10,11,2022-10-31,0.12,4,358,2,Week 2
Luxury 2BR Pool Villa /Cul-de-Sac (4 weeks +),Ingo,Vadhana,13.73668,100.56693,Entire home/apt,4156,28,4,2015-08-11,0.03,2,271,0,Week 4
Big space in eastern BKK,Anchalee,Bang Kapi,13.75878,100.64988,Entire home/apt,519,4,1,2016-11-09,0.01,1,181,0,Week 1
Chambre privée en condominium,Arnaud,Khlong Toei,13.73684,100.55488,Private room,1500,7,0,,0.0,1,365,0,Week 1
Elegant 2-Brm Condo in Heart of Bangkok,Gerald,Bang Rak,13.72543,100.53838,Entire home/apt,5195,3,95,2022-12-13,0.92,1,236,14,Week 1
Five artist loft apartments,Nim,Bang Na,13.67826,100.60592,Entire home/apt,1750,28,0,,0.0,2,365,0,Week 4
Lovely quaint Bangkok home,Ann,Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,26,2022-12-11,0.22,1,336,2,Week 1
"MODERN STUDIO SKYTRAIN, WIFI, 40%Monthly Discount!",Niramol,Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,53,2022-12-06,0.46,8,127,7,Week 1
Budget price but 5 star value near new skytrain,Rae And Charlie,Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,7,2017-05-12,0.06,7,146,0,Week 1
Jade House overlooking Pool near new skytrain,Rae And Charlie,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,21,2022-12-22,0.18,7,124,1,Week 1
"3min to BTS, Late Checkout, WiFi, Pool, Cable, BNH",Chonnikan,Bang Rak,13.72425,100.53087,Entire home/apt,2147,5,101,2022-12-14,0.95,2,221,10,Week 1
Great bright&spacious 1B BTS Onnut,Siri,Khlong Toei,13.70486,100.60152,Entire home/apt,850,21,33,2022-10-23,0.28,3,294,1,Week 3
comfortable in Bangkok Near MRT,Hab,Din Daeng,13.77126,100.57088,Private room,1200,2,0,,0.0,1,365,0,Week 1
3.Cool Chic apartment walk 5 min BTS Sathon,Wimonpak,Sathon,13.71628,100.51238,Entire home/apt,950,1,109,2022-11-21,0.95,41,358,5,Week 1
2BR Apt. near Sathon Silom-free WIFI,Sujin,Sathon,13.71972,100.54924,Entire home/apt,1693,30,25,2022-12-03,0.21,2,176,4,Week 4
95 sqm. 2 br. 1-5 people. Next to thonglor bts,Notee,Khlong Toei,13.72393,100.57647,Entire home/apt,3300,5,26,2022-12-18,0.3,3,13,9,Week 1
Superior Double Room Near Airport,Anis,Suanluang,13.73789,100.64271,Private room,850,1,8,2022-06-30,0.11,10,365,1,Week 1
Superior Twin Room Near Airport,Anis,Suanluang,13.73613,100.64319,Private room,1050,1,0,,0.0,10,365,0,Week 1
Studio in Beung Kum,Anis,Bueng Kum,13.78327,100.67124,Private room,700,1,3,2019-09-19,0.07,10,365,0,Week 1
Superior Double Room Near Yanhen Hospital,Anis,Bang Phlat,13.80698,100.5121,Private room,1050,1,0,,0.0,10,365,0,Week 1
Superior Twin Room Near Yanhee Hospital,Anis,Bang Phlat,13.80657,100.51192,Private room,1050,1,0,,0.0,10,365,0,Week 1
Superior Db Rm Near Yanhee Hospital,Anis,Bang Phlat,13.80685,100.5125,Private room,1050,1,0,,0.0,10,365,0,Week 1
Sathorn Apt with urban vibe,Jay,Sathon,13.71663,100.52864,Entire home/apt,868,4,97,2022-09-09,0.89,1,330,11,Week 1
Family Apartment for rent.,Jirajate,Wang Thong Lang,13.77933,100.61957,Private room,4873,1,0,,0.0,1,365,0,Week 1
วรภาดา น้อยพันธ์,Catroom,Bang Rak,13.7318,100.52351,Private room,980,1,0,,0.0,1,365,0,Week 1
Sarin Place Lodge,Weerakorn,Chatu Chak,13.82824,100.56594,Entire home/apt,1054,28,20,2020-01-07,0.27,6,180,0,Week 4
"Modern, cosy, great pool/gym",Peter,Huai Khwang,13.74742,100.56678,Entire home/apt,1020,29,12,2022-08-31,0.12,2,318,3,Week 4
New Studio 2KM to BTS- Sukhumvit 77,Yair,Suanluang,13.72347,100.61812,Entire home/apt,1004,10,6,2017-07-25,0.08,10,365,0,Week 2
Nostalgic Thai House - The Villa,Jeremy,Nong Chok,13.77672,100.83851,Entire home/apt,8658,1,1,2015-09-03,0.01,2,365,0,Week 1
"NEWLY Renovated! 1BR by the river, near IconSiam",Jeab,Khlong San,13.72174,100.50769,Entire home/apt,1635,3,88,2022-11-22,0.8,1,56,8,Week 1
Thai house overlooking pond & lotus,Jeremy,Nong Chok,13.77624,100.83931,Entire home/apt,3463,2,1,2016-03-10,0.01,2,363,0,Week 1
"River view penthouse 30 Fl, 5 Pers,  taxi included",Donald,Khlong San,13.72135,100.508,Entire home/apt,7929,2,256,2022-12-15,2.13,1,267,43,Week 1
✩Vibrant street✩Cozy n Cool near MRT Silom/center✩,Evan,Sathon,13.72065,100.54713,Entire home/apt,850,1,278,2022-12-12,2.31,37,293,10,Week 1
Home Sweet Home For Your Family near new skytrain,Rae And Charlie,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,37,2019-12-18,0.31,7,107,0,Week 1
1BR Condo-BRT to BTS Chong Nonsi,Sue,Yan na wa,13.67907,100.52887,Entire home/apt,935,28,26,2019-05-18,0.26,5,331,0,Week 4
"2BR-Airy,Cosy in Thai Neighbourhood",Artra,Din Daeng,13.78588,100.56957,Entire home/apt,1504,2,167,2022-12-04,1.54,1,360,5,Week 1
"2 BR - Near BTS, Wifi",Sue,Khlong San,13.72162,100.5075,Entire home/apt,2251,7,91,2022-11-20,0.77,5,314,2,Week 1
Unit in relaxing garden setting near new skytrain,Rae And Charlie,Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,0,,0.0,7,146,0,Week 1
Entire Studio center of Bangkok,Carlos,Bang Rak,13.72479,100.53039,Private room,728,21,11,2022-11-20,0.1,2,316,4,Week 3
